Barcode,Client Barcode
260000140128,130600626019
260000140127,310200226025
260000140126,130600626018
260000140125,310200226024
260000140124,130600626017
260000140123,310200226023
260000140122,310200226022
260000140121,130600626016
260000140120,130600626015
260000140119,220500126064
260000140118,230100126122
260000140117,220200226041
260000140116,220200226040
260000140115,610200126133
260000140114,220200226039
260000140113,130601026076
260000140112,610200126132
260000140111,220200226038
260000140110,220200226037
260000140109,510100326054
260000140108,220200226036
260000140107,210200126006
260000140106,120200126010
260000140105,130600726013
260000140104,520300226034
260000140103,130600726014
260000140102,130600326015
260000140101,610200126131
260000140099,320100126072
260000140098,510100126053
260000140097,510100126052
260000140096,510100126051
260000140095,510100126050
260000140094,510100126048
260000140092,120200226001
260000140091,810200526058
260000140088,810100126221
260000140087,820200126044
260000140086,820200126043
260000140085,820200126042
260000140082,320100226025
260000140081,610200126130
260000140080,320100226024
260000140079,610200126129
260000140078,610200126128
260000140077,610200126127
260000140076,310200726004
260000140075,610200126126
260000140074,610200126125
260000140073,310200726003
260000140072,610200126124
260000140071,640100326780
260000140070,610200126123
260000140069,640100326779
260000140068,820200126041
260000140067,640100326778
260000140066,640100326777
260000140065,610200126122
260000140064,640100326776
260000140063,610200126121
260000140062,640100326775
260000140059,810200326037
260000140057,310100126053
260000140056,510400126018
260000140055,510400126017
260000140054,510400226011
260000140053,810100226198
260000140052,510500126040
260000140051,510500126039
260000140050,810100126220
260000140049,510400326015
260000140047,320200126023
260000140046,320200126022
260000140045,320200126021
260000140044,320200126020
260000140043,320200126019
260000140042,320200126018
260000140041,320200126017
260000140040,320200126016
260000140039,320200126015
260000140038,320200126014
260000140037,320200126013
260000140036,320200126012
260000140035,810100326147
260000140034,230100326019
260000140032,520300226033
260000140031,520300226029
260000140030,130601026075
260000140029,130601026074
260000140028,130601026073
260000140027,640100326774
260000140026,640100326773
260000140025,640100326772
260000140024,640100326771
260000140023,640100326770
260000140021,640100326769
260000140019,640100326768
260000140018,810100226197
260000140017,640100326767
260000140016,640100326766
260000140015,640100326765
260000140013,420200126031
260000140012,640100526034
260000140011,620100126824
260000140010,130601126033
260000140009,130601126032
260000140008,620100126823
260000140007,510100126047
260000140006,620100126822
260000140005,240100226021
260000140004,510100226010
260000140003,810100326146
260000140001,810200426018
260000140000,810200126076
260000139999,620100126821
260000139998,620100126820
260000139997,130700226038
260000139996,130700226037
260000139995,520300226028
260000139994,130601026072
260000139993,510400226010
260000139992,230100326018
260000139991,230100326017
260000139990,230100326016
260000139989,640100326764
260000139988,920100126032
260000139987,920100126031
260000139986,920100126030
260000139985,920100126029
260000139984,920100126028
260000139983,920100126027
260000139982,920100126026
260000139980,510400126016
260000139979,510400126015
260000139978,140100126079
260000139976,170100126023
260000139975,170100126022
260000139974,810100226196
260000139973,810100226195
260000139972,140100326113
260000139971,140100326112
260000139970,140100326111
260000139969,140100326110
260000139968,140100326109
260000139967,140100326108
260000139966,810200126075
260000139965,140100326107
260000139964,140100326106
260000139963,140100326105
260000139962,140100326104
260000139961,140100326103
260000139960,140100326102
260000139959,620100126819
260000139958,140100326101
260000139957,140100326100
260000139956,140100326099
260000139955,140100326098
260000139954,511200126010
260000139953,140100326097
260000139952,810100126219
260000139951,140100326096
260000139950,140100326095
260000139949,510300426022
260000139948,620100126818
260000139946,810100226194
260000139945,
260000139944,510100326053
260000139943,120100126027
260000139940,810200126074
260000139939,830200126028
260000139938,810100226193
260000139937,620100226438
260000139936,620100226437
260000139935,620100226436
260000139934,620100226435
260000139933,620100226434
260000139932,620100226433
260000139931,620100226432
260000139929,510700326016
260000139927,520300226032
260000139926,510100326052
260000139925,810100326145
260000139924,810200426020
260000139923,810200326036
260000139922,120100126026
260000139921,120100126025
260000139919,610200226104
260000139917,110200326044
260000139916,130601026071
260000139915,610100126032
260000139914,810100226192
260000139913,610100126031
260000139912,610100126030
260000139911,610100126029
260000139910,310200326002
260000139908,810200326035
260000139907,
260000139905,
260000139904,510400226009
260000139903,220100126104
260000139902,810100226191
260000139901,220100126103
260000139900,220100126102
260000139899,220100126101
260000139898,220100126100
260000139897,220100126099
260000139896,220100126098
260000139895,130100126029
260000139894,130100126028
260000139893,230100226108
260000139892,230100226109
260000139891,230100226107
260000139890,230100226106
260000139889,220400126017
260000139888,220400126016
260000139887,130600226002
260000139886,110100126016
260000139885,920100126025
260000139884,110100126015
260000139883,110100126014
260000139882,110100126013
260000139881,110300326028
260000139880,640100326763
260000139879,640100326762
260000139878,640100326761
260000139877,640100326760
260000139875,640100326759
260000139874,230100226105
260000139873,230100226104
260000139872,230100226103
260000139871,220500326037
260000139870,220200426032
260000139869,810100326144
260000139868,920100426010
260000139867,920100426009
260000139866,810200326034
260000139865,810200326033
260000139864,810200326032
260000139863,920100426008
260000139862,920100426007
260000139861,920100426006
260000139860,810100326143
260000139859,230100226102
260000139858,620100126817
260000139857,230100226101
260000139856,620100126816
260000139855,810100226190
260000139854,620100126815
260000139853,620100126814
260000139852,620100126813
260000139851,620100126812
260000139850,620100126811
260000139849,620100126810
260000139848,620100126809
260000139847,620100126808
260000139846,920100426005
260000139845,620100126807
260000139844,620100126806
260000139843,920100426004
260000139841,920100426003
260000139840,920100426002
260000139839,620100126805
260000139837,920100426001
260000139836,620100126804
260000139835,620100126803
260000139834,620100126802
260000139833,620100126801
260000139832,620100126800
260000139831,620100126799
260000139830,620100126798
260000139829,620100126797
260000139828,640100326758
260000139827,640100326757
260000139826,
260000139825,640100326756
260000139824,640100326755
260000139823,640100326754
260000139822,640100326753
260000139821,
260000139820,
260000139819,
260000139818,
260000139817,
260000139816,
260000139815,640100326752
260000139814,
260000139813,640100326751
260000139812,810100226189
260000139811,640100326750
260000139810,640100326749
260000139809,640100326748
260000139808,640100326747
260000139807,640100326746
260000139806,810100226188
260000139805,810200226041
260000139804,710200226017
260000139803,810200126073
260000139802,710200226016
260000139801,710200226015
260000139800,710300226018
260000139799,810100226187
260000139797,810100326142
260000139796,810200226040
260000139795,810200226039
260000139794,210100326013
260000139793,120300226006
260000139792,420100226044
260000139791,420100226043
260000139790,120300226005
260000139789,120300226004
260000139788,810200326031
260000139787,810200326030
260000139786,110200326043
260000139785,810100326141
260000139784,510100126046
260000139783,810100126218
260000139782,310200226021
260000139781,810100226186
260000139780,310200226020
260000139779,220200326066
260000139778,220200326067
260000139777,220200326068
260000139776,220200326065
260000139775,220200326064
260000139774,220200326063
260000139773,220200326062
260000139772,220200326061
260000139771,220200326060
260000139770,220200326059
260000139769,220200326058
260000139768,220200326057
260000139767,220200326056
260000139766,220200326055
260000139765,220200326053
260000139764,220200326052
260000139763,220200326054
260000139762,220200326051
260000139761,220200326050
260000139760,220200326049
260000139759,220200326048
260000139758,220200326047
260000139757,220200326046
260000139756,220200326045
260000139755,220200326044
260000139754,220200326043
260000139753,820200126040
260000139752,110300426016
260000139751,810200126072
260000139750,810100226185
260000139749,810200326029
260000139748,130600626014
260000139747,830100126007
260000139746,110300226022
260000139745,110300226021
260000139744,640100426089
260000139743,110300226020
260000139742,510200326009
260000139741,100245170397
260000139740,620100226431
260000139739,130601026070
260000139738,130601026069
260000139737,810200526057
260000139736,620100226430
260000139735,620100226429
260000139734,230100126121
260000139733,620100226428
260000139732,130601126031
260000139730,810200226038
260000139728,810100126217
260000139727,630200226019
260000139726,610200426280
260000139725,610200426279
260000139724,610200426278
260000139723,810200526056
260000139721,610200426277
260000139720,110200326042
260000139719,610200426276
260000139718,610200426275
260000139717,110300426015
260000139716,610200426274
260000139715,610200426273
260000139714,130100126027
260000139713,810100126216
260000139711,100700243198
260000139710,730100226024
260000139708,110300426014
260000139707,810100126215
260000139706,810100126214
260000139704,110300126025
260000139703,810200226037
260000139702,730100226023
260000139701,810100126213
260000139700,730100226022
260000139699,810200226036
260000139698,730100226021
260000139697,810200126071
260000139695,220200526097
260000139694,106800170198
260000139693,106800170197
260000139692,106800170196
260000139691,101100170149
260000139690,101100170148
260000139689,101100170147
260000139687,610100326180
260000139686,610200426272
260000139685,610200426271
260000139683,810100126212
260000139682,640100126816
260000139681,640100126815
260000139680,640100126814
260000139679,640100126813
260000139678,640100126812
260000139677,110200326041
260000139676,640100126811
260000139675,101100170146
260000139674,640100126810
260000139673,640100126809
260000139672,101100170145
260000139671,130601026068
260000139670,640100126808
260000139669,810100126211
260000139667,810200326028
260000139666,810100126210
260000139665,130600626013
260000139664,810200326027
260000139663,420200126030
260000139661,
260000139660,
260000139659,400895191134
260000139658,400895191133
260000139657,810200526055
260000139656,620100126796
260000139655,620100126795
260000139654,620100126794
260000139653,620100126793
260000139652,620100226427
260000139651,620100126792
260000139650,620100126791
260000139649,620100126790
260000139648,620100126789
260000139647,110200326040
260000139646,130600826021
260000139645,220300126037
260000139644,640100426088
260000139643,640100426087
260000139642,640100426086
260000139641,640100426085
260000139640,640100426084
260000139639,100955244029
260000139638,640100426083
260000139637,630200126066
260000139636,640100426082
260000139635,630200126065
260000139634,630200126064
260000139633,630200126063
260000139632,640100426081
260000139631,630200126062
260000139630,630200126061
260000139629,720200226100
260000139628,630200126060
260000139627,630200126059
260000139626,630200126058
260000139625,810100326140
260000139624,720200226099
260000139623,630200126057
260000139622,810100326139
260000139621,640100426080
260000139620,810100126209
260000139619,720200226098
260000139618,640100426079
260000139617,720200226097
260000139616,810100126208
260000139615,630200126056
260000139614,810100126207
260000139613,810100126206
260000139612,640100426078
260000139611,810100126205
260000139610,720200226096
260000139609,810100126204
260000139608,810100126203
260000139607,810200326068
260000139606,810100126202
260000139604,810100126201
260000139603,310200126015
260000139602,210100326012
260000139601,810200326067
260000139600,310300126002
260000139599,810100126200
260000139598,310200326001
260000139597,810200326026
260000139596,310200626003
260000139595,310100126052
260000139594,810100326138
260000139593,310100126051
260000139592,810100326137
260000139591,810100326136
260000139590,620100126788
260000139589,810100326135
260000139588,810100126199
260000139586,720200226095
260000139585,810200126070
260000139584,810200126069
260000139583,720200226094
260000139581,510300426021
260000139580,510100326051
260000139578,520300226027
260000139576,610300426064
260000139575,610300426063
260000139574,810100326134
260000139573,610100326179
260000139572,610100326178
260000139571,610100326177
260000139570,610100326176
260000139569,610200426270
260000139568,610100326175
260000139567,610100326174
260000139566,130601026067
260000139565,610100326173
260000139564,610100326172
260000139563,610100326171
260000139562,610100326170
260000139561,130600426004
260000139560,130600426003
260000139559,620100126787
260000139558,620100126786
260000139557,620100126785
260000139556,620100126784
260000139555,150200426003
260000139554,810100126198
260000139553,810200426017
260000139550,510300426020
260000139549,810100326133
260000139546,810100326132
260000139545,810100326131
260000139544,810100326130
260000139543,101360232011
260000139540,220500426001
260000139539,
260000139538,
260000139537,
260000139536,
260000139535,
260000139534,
260000139533,610300426062
260000139532,510200226031
260000139531,510800126016
260000139530,740100326017
260000139528,640100126807
260000139527,620100126783
260000139524,510200326008
260000139523,510200326007
260000139522,510200326006
260000139521,620100226426
260000139520,620100226425
260000139519,640100126806
260000139518,640100126805
260000139517,640100126804
260000139516,640100126803
260000139515,640100126802
260000139514,640100126801
260000139513,640100126800
260000139512,640100126799
260000139511,510900526013
260000139510,510900526012
260000139509,810100226184
260000139508,810100126197
260000139507,610200326103
260000139506,610300426061
260000139504,810100226182
260000139503,310200726002
260000139502,510900526011
260000139501,810100126196
260000139500,510900526010
260000139499,130601026066
260000139498,130601026065
260000139497,130601026064
260000139496,320200426095
260000139495,620100126781
260000139494,710100226032
260000139493,310200726001
260000139491,610200426269
260000139490,610200426268
260000139489,640100126798
260000139488,610200426267
260000139487,640100126797
260000139486,610200426266
260000139485,610200426265
260000139484,610200426264
260000139483,610200426263
260000139482,310200126014
260000139481,230100126120
260000139480,740100226005
260000139479,740100226004
260000139478,230100126119
260000139477,740100226003
260000139476,820100126049
260000139474,310100126050
260000139473,210100126057
260000139472,820100126048
260000139471,310100126049
260000139470,210100126056
260000139469,310100126048
260000139468,820100126047
260000139467,830200126027
260000139466,610200426262
260000139465,610200426261
260000139464,720200226093
260000139462,720200226092
260000139461,720200226091
260000139460,720200226090
260000139459,720200226089
260000139458,720200226088
260000139457,720200226087
260000139456,720400126032
260000139455,610300426060
260000139454,720200226086
260000139453,610300426059
260000139452,720400126031
260000139451,610200426260
260000139449,640100326745
260000139447,640100326744
260000139446,640100326743
260000139445,640100326742
260000139444,320100126071
260000139443,640100326741
260000139442,640100326740
260000139441,640100126796
260000139440,640100126795
260000139439,210300126014
260000139438,620100226424
260000139437,620100226423
260000139436,520200126190
260000139435,640100326739
260000139434,520200126189
260000139433,640100326738
260000139432,
260000139431,520200126188
260000139429,510400326014
260000139427,810100326129
260000139424,220200426031
260000139419,810100126195
260000139417,420500126020
260000139416,640100426077
260000139414,420500126019
260000139411,610200226103
260000139410,610200226102
260000139408,130200126015
260000139407,130200126014
260000139404,130200126012
260000139403,220400126015
260000139402,220400126014
260000139401,220400126013
260000139400,220400126012
260000139396,820200126039
260000139394,130600626012
260000139391,130600626011
260000139390,220200526096
260000139389,640100126794
260000139388,640100126793
260000139387,640100126792
260000139386,130600926029
260000139385,810100326128
260000139384,130600926028
260000139383,640100126791
260000139382,640100126790
260000139381,810100326127
260000139380,640100126789
260000139379,140100126078
260000139377,140100126077
260000139376,140100126076
260000139375,640100126788
260000139374,640100126787
260000139372,640100126786
260000139371,640100126785
260000139370,140100126075
260000139369,140100126074
260000139368,640100126784
260000139367,640100126783
260000139366,640100126782
260000139365,640100126781
260000139364,640100126780
260000139363,640100126779
260000139362,640100126778
260000139361,140100126073
260000139360,140100126072
260000139359,640100126777
260000139358,140100126071
260000139357,140100126070
260000139356,130600726011
260000139355,170100126021
260000139354,130700226036
260000139353,170100126020
260000139351,610200426259
260000139350,610200426258
260000139349,170100426005
260000139348,610200426257
260000139347,170100426006
260000139346,640100126776
260000139345,820200126038
260000139344,510500126034
260000139343,510100326050
260000139342,510500126033
260000139341,510500126032
260000139340,610200426256
260000139339,510500126031
260000139338,510500126030
260000139337,610200426255
260000139336,510500126029
260000139335,510500126028
260000139334,610200426254
260000139333,820200126037
260000139332,610200426253
260000139331,510500126027
260000139330,610200426252
260000139329,820200126036
260000139328,610200426251
260000139326,820200126035
260000139325,610200426249
260000139324,820200126034
260000139323,820200126033
260000139322,820200126032
260000139321,820200126031
260000139320,820200126030
260000139319,610100326169
260000139318,820200126029
260000139317,510500126026
260000139316,510500126025
260000139315,510500126024
260000139314,510500126023
260000139313,510500126022
260000139312,610100326168
260000139311,510500126021
260000139310,510500126020
260000139309,640100326737
260000139308,510500126019
260000139307,510500126018
260000139306,640100326736
260000139305,640100326735
260000139304,640100326734
260000139303,640100326733
260000139302,640100326732
260000139301,630200126055
260000139300,640100326731
260000139299,510500126016
260000139298,640100326730
260000139296,640100326729
260000139295,640100326728
260000139294,640100326727
260000139293,640100326726
260000139292,640100326725
260000139291,640100326724
260000139290,640100326723
260000139289,320200426094
260000139288,640100326722
260000139287,640100326721
260000139286,640100326720
260000139285,640100326719
260000139284,640100126775
260000139283,640100126774
260000139282,640100126773
260000139281,130601026063
260000139279,640100126772
260000139278,320200426093
260000139276,640100126771
260000139275,640100326718
260000139274,640100126770
260000139273,640100126769
260000139272,640100126768
260000139271,640100126767
260000139270,640100326717
260000139269,640100126766
260000139268,640100126765
260000139267,640100326716
260000139266,640100126764
260000139265,640100126763
260000139264,640100126762
260000139263,510200226030
260000139262,640100126761
260000139261,630100126032
260000139260,630100126031
260000139259,640100126760
260000139258,640100126759
260000139257,640100126758
260000139256,820200126028
260000139255,620100126780
260000139254,620100126779
260000139253,130100126026
260000139252,620100126778
260000139251,130100126025
260000139250,130100126024
260000139249,130100126023
260000139248,620100126777
260000139247,620100126776
260000139246,130100126022
260000139245,620100126775
260000139244,620100126774
260000139243,620100126773
260000139242,620100126772
260000139241,510400126014
260000139240,620100126771
260000139239,620100126770
260000139238,510400126013
260000139237,510400126012
260000139236,620100126769
260000139235,640100326715
260000139233,810200426014
260000139232,640100326714
260000139231,640100326713
260000139230,640100326712
260000139229,640100326711
260000139228,640100326710
260000139227,640100326709
260000139226,640100326708
260000139224,620100226422
260000139223,640100326707
260000139222,640100326706
260000139221,810200126068
260000139220,640100326705
260000139219,640100326704
260000139218,730100326007
260000139217,640100326703
260000139216,640100326702
260000139215,640100326701
260000139214,730100326006
260000139213,640100326700
260000139212,620100126768
260000139211,620100126767
260000139210,620100126766
260000139209,810100126194
260000139208,420200526003
260000139207,620100126765
260000139206,620100126764
260000139204,620100126763
260000139203,640100126757
260000139202,620100126762
260000139201,620100126761
260000139200,620100126760
260000139199,620100126759
260000139198,620100126758
260000139195,640100126756
260000139194,511000126035
260000139193,510100326049
260000139192,640100126755
260000139191,620100126757
260000139190,510700326015
260000139189,510700326014
260000139188,510700326013
260000139187,510700326012
260000139186,510700326011
260000139185,620100126756
260000139184,620100126755
260000139183,620100126754
260000139182,620100126753
260000139181,620100126752
260000139180,620100126751
260000139179,620100126750
260000139178,620100126749
260000139177,620100126748
260000139176,620100126747
260000139174,510100326048
260000139173,510100326047
260000139172,820200126027
260000139171,510100326046
260000139170,140100226014
260000139169,510300426019
260000139168,510300426018
260000139167,240100226020
260000139166,420500126018
260000139163,240100226019
260000139162,240100226018
260000139161,620100126746
260000139160,240100226017
260000139159,240100226016
260000139158,240100226015
260000139157,240100226014
260000139156,240100226013
260000139155,640100126754
260000139154,810100326126
260000139153,640100126753
260000139152,510200226029
260000139151,920100126024
260000139150,510200226028
260000139149,920100126023
260000139148,140100326094
260000139147,140100326093
260000139146,640100126752
260000139145,640100126751
260000139144,610300126020
260000139143,610200426250
260000139142,610200426248
260000139141,610200426247
260000139140,610200426246
260000139139,820200126026
260000139138,810100226181
260000139135,140100326092
260000139134,140100326091
260000139132,610300126019
260000139131,610300126018
260000139130,610300126017
260000139129,610200426245
260000139128,610200426244
260000139127,610200426243
260000139126,610300126016
260000139125,610300126015
260000139124,140100326090
260000139123,140100326089
260000139122,140100326088
260000139121,810100326125
260000139119,810100326124
260000139118,130600926027
260000139117,810200526054
260000139116,140100326087
260000139115,510500126005
260000139114,510400126011
260000139113,510100326045
260000139112,220200126056
260000139111,140100326086
260000139110,640100126750
260000139109,140100326085
260000139108,130600926026
260000139107,510300126108
260000139106,410100226032
260000139105,410100226031
260000139104,410100226030
260000139103,410100226029
260000139101,510300126107
260000139100,640100126749
260000139099,640100126748
260000139098,640100126747
260000139096,640100126746
260000139095,510300126106
260000139094,640100126745
260000139093,510300126105
260000139092,640100126744
260000139091,510300126104
260000139090,640100126743
260000139089,510300126103
260000139088,510300126102
260000139087,610200426242
260000139086,510300126101
260000139085,610200426241
260000139084,510300126100
260000139083,640100126742
260000139082,510100126045
260000139081,510300126099
260000139080,640100126741
260000139079,510300126098
260000139078,510300126097
260000139077,510300126096
260000139076,640100126740
260000139075,510300126095
260000139074,510300126094
260000139073,640100126739
260000139072,510300126093
260000139071,510300126092
260000139070,640100126738
260000139069,510300126091
260000139068,510100326044
260000139067,510300126090
260000139066,510300126089
260000139065,510300126088
260000139064,510300126087
260000139063,510300126086
260000139062,510300126085
260000139061,510300126084
260000139060,510300126083
260000139059,510300126082
260000139057,510300126080
260000139056,510300126081
260000139055,510300126079
260000139054,510300126078
260000139053,510300126076
260000139052,510300126077
260000139051,810100326123
260000139050,510300126075
260000139049,420200226086
260000139048,420200426009
260000139047,420200426008
260000139046,510300126074
260000139045,130600926025
260000139044,110200326039
260000139043,710300326207
260000139042,510300126073
260000139041,230100126112
260000139040,510300126072
260000139039,510300126071
260000139038,230100126111
260000139037,510300126070
260000139036,210300126013
260000139035,210300126012
260000139034,510300126069
260000139033,210300126011
260000139030,210300126010
260000139029,510300126068
260000139028,230100126110
260000139027,230100126109
260000139024,810200226035
260000139023,810200226034
260000139021,130700226033
260000139020,130700226034
260000139019,130700226035
260000139017,510900326006
260000139016,510300126067
260000139015,510300126066
260000139014,510300126065
260000139013,630200126054
260000139012,510300126064
260000139011,630200126053
260000139010,170100226005
260000139009,170100226004
260000139008,170100226003
260000139007,170100226002
260000139006,810200226033
260000139005,170100226001
260000139004,630200126052
260000139003,810200226032
260000139002,630200126051
260000139001,810200226031
260000139000,510300126063
260000138998,810200226030
260000138997,630200126050
260000138996,810200226029
260000138995,630200126049
260000138993,630200126048
260000138991,740100126022
260000138989,510300126062
260000138988,740100126021
260000138987,510300126061
260000138986,820100126046
260000138985,620100226421
260000138984,170100126019
260000138983,640100126736
260000138982,420200126029
260000138977,170100126018
260000138976,320100126070
260000138975,170100126017
260000138973,640100126735
260000138972,320100126069
260000138971,510100326043
260000138970,320100126068
260000138969,130600926024
260000138968,640100126734
260000138967,170100726006
260000138966,170100726005
260000138965,640100126733
260000138964,640100126732
260000138963,620100226420
260000138962,130400126005
260000138961,510900326005
260000138960,510900326004
260000138959,620100126745
260000138958,620100126744
260000138957,310100126047
260000138956,620100126743
260000138955,620100126742
260000138954,620100126741
260000138953,320100326004
260000138952,620100226419
260000138950,510100326042
260000138949,810200426013
260000138948,640100126731
260000138946,640100126730
260000138945,640100126729
260000138944,640100126728
260000138943,640100126727
260000138942,640100126726
260000138941,640100126725
260000138940,640100126724
260000138939,830200126026
260000138938,640100126723
260000138937,830200126025
260000138936,110300126024
260000138935,130601026062
260000138934,120300226003
260000138933,110200326038
260000138932,110200326037
260000138931,140100126069
260000138930,140100126068
260000138929,110200326036
260000138928,110200326035
260000138927,140100126067
260000138926,110200326034
260000138925,110200326033
260000138924,110300326027
260000138923,610100326167
260000138922,610100326166
260000138921,110200326032
260000138920,110300226019
260000138918,140100126066
260000138917,140100126065
260000138916,170100126016
260000138915,170100126015
260000138914,170100126014
260000138913,140100126064
260000138912,140100126063
260000138911,170100126013
260000138910,630200126047
260000138909,130600926023
260000138908,130600926022
260000138907,510500126004
260000138905,130600926021
260000138904,170100126012
260000138903,170100126011
260000138902,130600926020
260000138901,170100126010
260000138900,130600926019
260000138899,610300426058
260000138898,810100226180
260000138896,110200126011
260000138895,170100126009
260000138894,610300426057
260000138893,610300426056
260000138892,170100126008
260000138891,610300426055
260000138890,170100126007
260000138889,170100126006
260000138888,170100126005
260000138887,130600926018
260000138886,170100126004
260000138885,510300426017
260000138884,510100426002
260000138883,610300426054
260000138882,640100626009
260000138881,640100626008
260000138880,510900326003
260000138879,510900326002
260000138878,510900326001
260000138877,510300426016
260000138876,810100226179
260000138875,810100226178
260000138874,810200526053
260000138873,170100126003
260000138872,510300426015
260000138871,510300426014
260000138870,130601026061
260000138869,510300126060
260000138868,140100126062
260000138867,170100126002
260000138866,170100326006
260000138865,170100326005
260000138864,140100126061
260000138863,170100326004
260000138862,140100126060
260000138861,170100326003
260000138860,130601026060
260000138859,140100126059
260000138858,130601026059
260000138857,
260000138856,
260000138855,140100126058
260000138854,140100126057
260000138853,140100126056
260000138852,140100126055
260000138851,140100126054
260000138850,140100126053
260000138849,140100126052
260000138848,170100326002
260000138847,170100326001
260000138846,170100426004
260000138845,140100126051
260000138844,730100326005
260000138843,730100326004
260000138842,730100326003
260000138841,730100326002
260000138840,170100426003
260000138839,110200326030
260000138838,170100426002
260000138837,170100526008
260000138836,820200126025
260000138834,140096263185
260000138833,140096263184
260000138832,140096263183
260000138831,410100126042
260000138830,610200126120
260000138829,114000154906
260000138828,140100326084
260000138827,810100326122
260000138826,630200226018
260000138825,230100126108
260000138824,230100126107
260000138823,230100126106
260000138821,100037321269
260000138819,410100126041
260000138818,220200426028
260000138817,610200126119
260000138816,511100126003
260000138815,610200126118
260000138814,620100126740
260000138813,620100126739
260000138812,510100226009
260000138811,610200126117
260000138810,510100226008
260000138809,620100126738
260000138808,620100126737
260000138807,510100226007
260000138806,620100126736
260000138804,620100126735
260000138803,640100126722
260000138802,620100126734
260000138801,610200126115
260000138799,620100126733
260000138798,620100126732
260000138795,830200126024
260000138792,810100226177
260000138791,810100126193
260000138790,810100126192
260000138789,620100126731
260000138788,620100126730
260000138787,130601026058
260000138786,620100126729
260000138785,620100226418
260000138784,130601026057
260000138783,620100226417
260000138782,620100226416
260000138780,620100126728
260000138779,620100126727
260000138778,620100226415
